sysname Tnuc
OH_HEX_d4.0_0.20 200.0
OH_HEX_d4.5_0.05 200.0
OH_HEX_d4.5_0.20 200.0
OH_HEX_d5.0_0.05 200.0
OH_HEX_d5.0_0.20 200.0
OH_HEX_d5.5_0.05 200.0
OH_HEX_d5.5_0.20 200.0
OH_HEX_d6.0_0.05 200.0
OH_HEX_d6.0_0.20 200.0
OH_SQU_d2.0_0.05 212.68
OH_SQU_d2.0_0.20 220.72
OH_SQU_d2.5_0.05 211.58
OH_SQU_d2.5_0.20 205.04
OH_SQU_d2.7_0.05 204.52
OH_SQU_d2.7_0.20 203.86
OH_SQU_d3.0_0.05 202.72
OH_SQU_d3.0_0.20 206.42
OH_SQU_d3.2_0.05 200.0
OH_SQU_d3.2_0.20 200.0
OH_SQU_d3.5_0.05 200.0
OH_SQU_d3.5_0.20 200.0
OH_SQU_d4.0_0.05 200.0
OH_SQU_d4.0_0.20 205.54
OH_SQU_d4.5_0.05 209.04
OH_SQU_d4.5_0.20 200.76
OH_SQU_d5.0_0.05 200.0
OH_SQU_d5.0_0.20 200.0
OH_SQU_d5.5_0.05 200.0
OH_SQU_d5.5_0.20 200.0
OH_SQU_d6.0_0.05 200.0
OH_SQU_d6.0_0.20 200.0
OH_TRI_d2.0_0.05 204.46
OH_TRI_d2.0_0.20 213.94
OH_TRI_d2.5_0.05 251.0
OH_TRI_d2.5_0.20 253.24
OH_TRI_d2.7_0.05 242.54
OH_TRI_d2.7_0.20 242.62
OH_TRI_d3.0_0.05 204.3
OH_TRI_d3.0_0.20 204.38
OH_TRI_d3.2_0.05 203.72
OH_TRI_d3.2_0.20 202.78
OH_TRI_d3.5_0.05 201.7
OH_TRI_d3.5_0.20 200.0
OH_TRI_d4.0_0.05 200.0
OH_TRI_d4.0_0.20 200.0
OH_TRI_d4.5_0.05 200.0
OH_TRI_d4.5_0.20 200.68
OH_TRI_d5.0_0.05 200.96
OH_TRI_d5.0_0.20 204.14
OH_TRI_d5.5_0.05 200.0
OH_TRI_d5.5_0.20 200.0
OH_TRI_d6.0_0.05 200.0
OH_TRI_d6.0_0.20 200.0
OH_SQU-OCT_d2.0_0.05 207.26
OH_SQU-OCT_d2.0_0.20 206.26
OH_SQU-OCT_d2.5_0.05 218.76
OH_SQU-OCT_d2.5_0.20 200.0
OH_SQU-OCT_d2.7_0.05 205.48
OH_SQU-OCT_d2.7_0.20 200.0
OH_SQU-OCT_d3.0_0.05 200.0
